team,team_points,driver_number,driver_name,nationality,nationality_code,driver_profile_url
MP Motorsport,251,23,Rocco Coronel,Netherlands,nl,https://f4spain.org/driver/rocco-coronel/
MP Motorsport,251,7,Felipe Reijs,Netherlands,nl,https://f4spain.org/driver/felipe-reijs/
MP Motorsport,251,40,Kasper Schormans,Netherlands,nl,https://f4spain.org/driver/kasper-schormans/
T-Code,208,17,Nacho Tuñón,Spain,es,https://f4spain.org/driver/nacho-tunon/
T-Code,208,77,Andrej Petrovic,Serbia,rs,https://f4spain.org/driver/andrej-petrovic/
Griffin Core,150,37,Ty Fisher,Canada,ca,https://f4spain.org/driver/ty-fisher/
Griffin Core,150,81,Noah Monteiro,Portugal,pt,https://f4spain.org/driver/noah-monteiro/
Griffin Core,150,22,Vivek Kanthan,United States,us,https://f4spain.org/driver/vivek-kanthan/
KCL Motorsport,138,15,Jensen Burnett,Canada,ca,https://f4spain.org/driver/jensen-burnett/
KCL Motorsport,138,21,Borys Lyzen,Poland,pl,https://f4spain.org/driver/borys-lyzen/
KCL Motorsport,138,39,Louis Cochet,France,fr,https://f4spain.org/driver/louis-cochet/
Drivex,135,32,Simon Bulbarella,Argentina,ar,https://f4spain.org/driver/simon-bulbarella/
Drivex,135,46,Nathan Tye,United Kingdom,gb,https://f4spain.org/driver/nathan-tye/
Drivex,135,44,Elliot Kaczynski,Sweden,se,https://f4spain.org/driver/elliot-kaczynski/
Tecnicar,70,25,Aleix Piñera,Spain,es,https://f4spain.org/driver/aleix-pinera/
Tecnicar,70,18,Zoe Florescu,Romania,ro,https://f4spain.org/driver/zoe-florescu/
Tecnicar,70,13,Rodrigo Martínez,Mexico,mx,https://f4spain.org/driver/rodrigo-martinez/
Tecnicar,70,18,Max Mokarem,United States,us,https://f4spain.org/driver/max-mokarem/
Campos Racing,41,8,Jacob Micallef,Malta,mt,https://f4spain.org/driver/jacob-micallef/
Campos Racing,41,10,Luna Fluxà,Spain,es,https://f4spain.org/driver/luna-fluxa/
Campos Racing,41,38,Daniel Kelleher,Ireland,ie,https://f4spain.org/driver/daniel-kelleher/
Monlau Motorsport,21,88,Miki Blascos,Spain,es,https://f4spain.org/driver/miki-blascos/
Monlau Motorsport,21,11,Rahim Alibhai,United States,us,https://f4spain.org/driver/rahim-alibhai/
Monlau Motorsport,21,73,Fausto Arnaudo,Argentina,ar,https://f4spain.org/driver/fausto-arnaudo/
Monlau Motorsport,21,27,Alexander Chartier,Italy,it,https://f4spain.org/driver/alexander-chartier/
Monlau Motorsport,21,27,Yuzuki Sato,Japan,jp,https://f4spain.org/driver/yuzuki-sato/
Monlau Motorsport,21,27,Juste Mulder,Netherlands,nl,https://f4spain.org/driver/juste-mulder/
G4 Racing,4,9,Jean Paul Karras,Greece,gr,https://f4spain.org/driver/jean-paul-karras/
G4 Racing,4,12,Philippe Armand Karras,Greece,gr,https://f4spain.org/driver/philippe-armand-karras/
G4 Racing,4,94,Jorden Moodley,South Africa,za,https://f4spain.org/driver/jorden-moodley/
DXR,4,80,Sebastián Frigolet,Mexico,mx,https://f4spain.org/driver/sebastian-frigolet/
DXR,4,28,Max Radeck,Portugal,pt,https://f4spain.org/driver/max-radeck/
DXR,4,71,Dean Pedersen,United States,us,https://f4spain.org/driver/dean-pedersen/
TC Racing,0,24,Beau Lowette,Belgium,be,https://f4spain.org/driver/beau-lowette/
TC Racing,0,78,Maria Neto,Portugal,pt,https://f4spain.org/driver/maria-neto/
TC Racing,0,5,Sandro Pérez,Spain,es,https://f4spain.org/driver/sandro-perez/
TC Racing,0,5,Daniel Mota,Spain,es,https://f4spain.org/driver/daniel-mota/
TC Racing,0,71,Sam Urus,Monaco,mc,https://f4spain.org/driver/sam-urus/
GRS Team,0,74,Pablo Riccobono,Spain,es,https://f4spain.org/driver/pablo-riccobono/
GRS Team,0,83,Alfons Miettinen,Finland,fi,https://f4spain.org/driver/alfons-miettinen/
GRS Team,0,62,André Rodríguez,United States,us,https://f4spain.org/driver/andre-rodriguez/
GRS Team,0,96,Ryusho Nakazato,Japan,jp,https://f4spain.org/driver/ryusho-nakazato/
GRS Team,0,71,Yani Stevenheydens,Belgium,be,https://f4spain.org/driver/yani-stevenheydens/
