team_name_raw,team_name_normalized,team_points,car_number,driver_full_name_raw,driver_full_name_normalized,nationality_code,nationality_name,driver_profile_url,source_url,source_collector
MP Motorsport,mp_motorsport,251,23,Rocco Coronel,rocco coronel,NLD,Netherlands,https://f4spain.org/driver/rocco-coronel/,https://f4spain.org/f4-teams-2026/,arnav
MP Motorsport,mp_motorsport,251,7,Felipe Reijs,felipe reijs,NLD,Netherlands,https://f4spain.org/driver/felipe-reijs/,https://f4spain.org/f4-teams-2026/,arnav
MP Motorsport,mp_motorsport,251,40,Kasper Schormans,kasper schormans,NLD,Netherlands,https://f4spain.org/driver/kasper-schormans/,https://f4spain.org/f4-teams-2026/,arnav
T-Code,t_code,211,17,Nacho Tuñón,nacho tunon,ESP,Spain,https://f4spain.org/driver/nacho-tunon/,https://f4spain.org/f4-teams-2026/,arnav
T-Code,t_code,211,77,Andrej Petrovic,andrej petrovic,SRB,Serbia,https://f4spain.org/driver/andrej-petrovic/,https://f4spain.org/f4-teams-2026/,arnav
Griffin Core,griffin_core,148,37,Ty Fisher,ty fisher,CAN,Canada,https://f4spain.org/driver/ty-fisher/,https://f4spain.org/f4-teams-2026/,arnav
Griffin Core,griffin_core,148,81,Noah Monteiro,noah monteiro,PRT,Portugal,https://f4spain.org/driver/noah-monteiro/,https://f4spain.org/f4-teams-2026/,arnav
Griffin Core,griffin_core,148,22,Vivek Kanthan,vivek kanthan,USA,United States,https://f4spain.org/driver/vivek-kanthan/,https://f4spain.org/f4-teams-2026/,arnav
KCL Motorsport,kcl_motorsport,138,15,Jensen Burnett,jensen burnett,CAN,Canada,https://f4spain.org/driver/jensen-burnett/,https://f4spain.org/f4-teams-2026/,arnav
KCL Motorsport,kcl_motorsport,138,21,Borys Lyzen,borys lyzen,POL,Poland,https://f4spain.org/driver/borys-lyzen/,https://f4spain.org/f4-teams-2026/,arnav
KCL Motorsport,kcl_motorsport,138,39,Louis Cochet,louis cochet,FRA,France,https://f4spain.org/driver/louis-cochet/,https://f4spain.org/f4-teams-2026/,arnav
Drivex,drivex,135,32,Simon Bulbarella,simon bulbarella,ARG,Argentina,https://f4spain.org/driver/simon-bulbarella/,https://f4spain.org/f4-teams-2026/,arnav
Drivex,drivex,135,46,Nathan Tye,nathan tye,GBR,United Kingdom,https://f4spain.org/driver/nathan-tye/,https://f4spain.org/f4-teams-2026/,arnav
Drivex,drivex,135,44,Elliot Kaczynski,elliot kaczynski,SWE,Sweden,https://f4spain.org/driver/elliot-kaczynski/,https://f4spain.org/f4-teams-2026/,arnav
