round_number,circuit,start_date,end_date,team,driver_number,driver_name,nationality,nationality_code
5,Jerez,2026-09-25,2026-09-27,MP Motorsport,23,Rocco Coronel,Netherlands,nl
5,Jerez,2026-09-25,2026-09-27,MP Motorsport,7,Felipe Reijs,Netherlands,nl
5,Jerez,2026-09-25,2026-09-27,MP Motorsport,40,Kasper Schormans,Netherlands,nl
5,Jerez,2026-09-25,2026-09-27,T-Code,17,Nacho Tuñón,Spain,es
5,Jerez,2026-09-25,2026-09-27,T-Code,77,Andrej Petrovic,Serbia,rs
5,Jerez,2026-09-25,2026-09-27,Griffin Core,37,Ty Fisher,Canada,ca
5,Jerez,2026-09-25,2026-09-27,Griffin Core,81,Noah Monteiro,Portugal,pt
5,Jerez,2026-09-25,2026-09-27,Griffin Core,22,Vivek Kanthan,United States,us
5,Jerez,2026-09-25,2026-09-27,KCL Motorsport,15,Jensen Burnett,Canada,ca
5,Jerez,2026-09-25,2026-09-27,KCL Motorsport,21,Borys Lyzen,Poland,pl
5,Jerez,2026-09-25,2026-09-27,KCL Motorsport,39,Louis Cochet,France,fr
5,Jerez,2026-09-25,2026-09-27,Drivex,32,Simon Bulbarella,Argentina,ar
5,Jerez,2026-09-25,2026-09-27,Drivex,46,Nathan Tye,United Kingdom,gb
5,Jerez,2026-09-25,2026-09-27,Drivex,44,Elliot Kaczynski,Sweden,se
5,Jerez,2026-09-25,2026-09-27,Tecnicar,25,Aleix Piñera,Spain,es
5,Jerez,2026-09-25,2026-09-27,Tecnicar,18,Zoe Florescu,Romania,ro
5,Jerez,2026-09-25,2026-09-27,Tecnicar,13,Rodrigo Martínez,Mexico,mx
5,Jerez,2026-09-25,2026-09-27,Tecnicar,18,Max Mokarem,United States,us
5,Jerez,2026-09-25,2026-09-27,Campos Racing,8,Jacob Micallef,Malta,mt
5,Jerez,2026-09-25,2026-09-27,Campos Racing,10,Luna Fluxà,Spain,es
5,Jerez,2026-09-25,2026-09-27,Campos Racing,38,Daniel Kelleher,Ireland,ie
5,Jerez,2026-09-25,2026-09-27,Monlau Motorsport,88,Miki Blascos,Spain,es
5,Jerez,2026-09-25,2026-09-27,Monlau Motorsport,11,Rahim Alibhai,United States,us
5,Jerez,2026-09-25,2026-09-27,Monlau Motorsport,73,Fausto Arnaudo,Argentina,ar
