round_number,circuit_id,circuit_name_raw,round_start_date,round_end_date,is_upcoming,team_name_raw,team_name_normalized,car_number,driver_full_name_raw,driver_full_name_normalized,nationality_code,nationality_name,source_url,source_collector
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,MP Motorsport,mp_motorsport,23,Rocco Coronel,rocco coronel,NLD,Netherlands,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,MP Motorsport,mp_motorsport,7,Felipe Reijs,felipe reijs,NLD,Netherlands,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,MP Motorsport,mp_motorsport,40,Kasper Schormans,kasper schormans,NLD,Netherlands,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,T-Code,t_code,17,Nacho Tuñón,nacho tunon,ESP,Spain,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,T-Code,t_code,77,Andrej Petrovic,andrej petrovic,SRB,Serbia,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Griffin Core,griffin_core,37,Ty Fisher,ty fisher,CAN,Canada,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Griffin Core,griffin_core,81,Noah Monteiro,noah monteiro,PRT,Portugal,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Griffin Core,griffin_core,22,Vivek Kanthan,vivek kanthan,USA,United States,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,KCL Motorsport,kcl_motorsport,15,Jensen Burnett,jensen burnett,CAN,Canada,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,KCL Motorsport,kcl_motorsport,21,Borys Lyzen,borys lyzen,POL,Poland,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,KCL Motorsport,kcl_motorsport,39,Louis Cochet,louis cochet,FRA,France,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Drivex,drivex,32,Simon Bulbarella,simon bulbarella,ARG,Argentina,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Drivex,drivex,46,Nathan Tye,nathan tye,GBR,United Kingdom,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Drivex,drivex,44,Elliot Kaczynski,elliot kaczynski,SWE,Sweden,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Tecnicar,tecnicar,25,Aleix Piñera,aleix pinera,ESP,Spain,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Tecnicar,tecnicar,18,Zoe Florescu,zoe florescu,ROU,Romania,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
1,270,Ricardo Tormo,2026-04-10,2026-04-12,FALSE,Tecnicar,tecnicar,13,Rodrigo Martínez,rodrigo martinez,MEX,Mexico,https://f4spain.org/round/f4-ricardo-tormo-2026/,arnav
